col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
Torri Douglas,,8,33,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Kyle Shenandoah,,,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Kyle J Sampson,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,15
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,15
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,15
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,15
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,15
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,15
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,15
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,15
Rhea Powell,,,,,,,,,,,,,,,,0,0,15
Tom Young,,,,,,,,,,,,,,,,,0,15
Total,45,45,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,16
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,16
Marisa Piccarreto,7,29,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Torri Douglas,,4,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Kyle J Sampson,,,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Kyle Shenandoah,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,16
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,16
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,16
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,16
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,16
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,16
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,16
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,16
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,16
Rhea Powell,,,,,,,,,,,,,,,,0,0,16
Tom Young,,,,,,,,,,,,,,,,,0,16
Total,36,33,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,17
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,17
Torri Douglas,8,29,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Marisa Piccarreto,,5,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Kyle Shenandoah,,,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Kyle J Sampson,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,17
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,17
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,17
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,17
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,17
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,17
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,17
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,17
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17
Rhea Powell,,,,,,,,,,,,,,,,0,0,17
Tom Young,,,,,,,,,,,,,,,,,0,17
Total,38,35,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,18
,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Noam Kugelmass,Judi Golding Baker,Darrell L Clarke,Tom Young,Jon Geeting,Joe Celentano,Matthew D Myers,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,18
Rhea Powell,7,29,27,27,25,22,21,21,18,14,9,10,6,0,0,0,0,18
Amanda Mcillmurray,,0,20,22,18,20,15,18,12,10,8,4,5,0,0,0,0,18
Andi Perez,,,1,23,18,14,17,15,15,10,6,6,5,0,0,0,0,18
Marylouise Isaacson,,,,2,17,15,14,15,10,11,7,7,4,0,0,0,0,18
Micah Mahjoubian,,,,,2,15,18,12,14,12,5,8,4,0,0,0,0,18
Mariel J K Martin,,,,,,0,12,16,11,6,8,4,4,0,0,0,0,18
Noam Kugelmass,,,,,,,1,11,14,10,4,7,5,0,0,0,0,18
Judi Golding Baker,,,,,,,,0,10,7,8,3,3,0,0,0,0,18
Darrell L Clarke,,,,,,,,,0,6,6,3,4,0,0,0,0,18
Tom Young,,,,,,,,,,2,5,7,1,0,0,0,0,18
Jon Geeting,,,,,,,,,,,2,1,1,0,0,0,0,18
Joe Celentano,,,,,,,,,,,,0,0,0,0,0,0,18
Matthew D Myers,,,,,,,,,,,,,1,0,0,0,0,18
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,18
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,18
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18
Torri Douglas,,,,,,,,,,,,,,,,,0,18
Total,46,30,29,29,28,23,23,22,20,17,12,10,7,0,0,0,0,18
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,19
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,19
Marisa Piccarreto,7,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Torri Douglas,,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Kyle J Sampson,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Kyle Shenandoah,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,19
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,19
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,19
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,19
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,19
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,19
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,19
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,19
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,19
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,19
Rhea Powell,,,,,,,,,,,,,,,,0,0,19
Tom Young,,,,,,,,,,,,,,,,,0,19
Total,16,15,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,20
,Amanda Mcillmurray,Rhea Powell,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Noam Kugelmass,Judi Golding Baker,Micah Mahjoubian,Tom Young,Joe Celentano,Jon Geeting,Matthew D Myers,Darrell L Clarke,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,20
Amanda Mcillmurray,4,36,37,35,29,27,23,21,24,18,22,16,11,0,0,0,0,20
Rhea Powell,,9,32,26,25,25,22,21,19,14,17,15,12,0,0,0,0,20
Marylouise Isaacson,,,2,26,24,23,22,18,17,12,17,18,11,0,0,0,0,20
Andi Perez,,,,1,22,24,16,21,17,13,17,12,10,0,0,0,0,20
Mariel J K Martin,,,,,0,20,17,15,14,9,12,13,10,0,0,0,0,20
Noam Kugelmass,,,,,,1,14,18,20,13,14,15,9,0,0,0,0,20
Judi Golding Baker,,,,,,,0,9,12,4,10,12,8,0,0,0,0,20
Micah Mahjoubian,,,,,,,,0,15,12,12,7,7,0,0,0,0,20
Tom Young,,,,,,,,,1,14,13,8,3,0,0,0,0,20
Joe Celentano,,,,,,,,,,4,13,6,3,0,0,0,0,20
Jon Geeting,,,,,,,,,,,0,10,7,0,0,0,0,20
Matthew D Myers,,,,,,,,,,,,0,8,0,0,0,0,20
Darrell L Clarke,,,,,,,,,,,,,2,0,0,0,0,20
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,20
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,20
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,20
Torri Douglas,,,,,,,,,,,,,,,,,0,20
Total,59,52,44,42,34,34,27,27,27,26,26,22,18,0,0,0,0,20
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,21
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,21
Torri Douglas,20,48,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Marisa Piccarreto,,7,44,43,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Kyle J Sampson,,,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Kyle Shenandoah,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,21
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,21
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,21
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,21
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,21
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,21
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,21
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,21
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,21
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,21
Rhea Powell,,,,,,,,,,,,,,,,0,0,21
Tom Young,,,,,,,,,,,,,,,,,0,21
Total,70,56,55,49,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,22
,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,22
Kyle Shenandoah,2,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Marisa Piccarreto,,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Torri Douglas,,,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Kyle J Sampson,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,22
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,22
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,22
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,22
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,22
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,22
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,22
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,22
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,22
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,22
Rhea Powell,,,,,,,,,,,,,,,,0,0,22
Tom Young,,,,,,,,,,,,,,,,,0,22
Total,10,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,23
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,23
Torri Douglas,11,26,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Kyle Shenandoah,,3,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Kyle J Sampson,,,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Marisa Piccarreto,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,23
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,23
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,23
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,23
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,23
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,23
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,23
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,23
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,23
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,23
Rhea Powell,,,,,,,,,,,,,,,,0,0,23
Tom Young,,,,,,,,,,,,,,,,,0,23
Total,38,29,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,23
